Party;Voting ID;Yes;No;Unregistered;Refrained;Excused;Max
ANO;67018;74;0;2;2;0;Y
ODS;67018;24;0;1;0;0;Y
Piráti;67018;22;0;0;0;0;Y
SPD;67018;22;0;0;0;0;Y
ČSSD;67018;13;0;0;2;0;Y
KSČM;67018;14;0;0;0;1;Y
KDU-ČSL;67018;9;0;0;1;0;Y
TOP09;67018;7;0;0;0;0;Y
STAN;67018;6;0;0;0;0;Y
ANO;67019;75;0;1;2;0;Y
ODS;67019;25;0;0;0;0;Y
Piráti;67019;22;0;0;0;0;Y
SPD;67019;22;0;0;0;0;Y
ČSSD;67019;14;0;0;1;0;Y
KSČM;67019;14;0;0;0;1;Y
KDU-ČSL;67019;9;0;0;1;0;Y
TOP09;67019;7;0;0;0;0;Y
STAN;67019;6;0;0;0;0;Y
ANO;67020;0;76;1;1;0;N
ODS;67020;21;1;0;3;0;Y
Piráti;67020;0;22;0;0;0;N
SPD;67020;1;20;0;1;0;N
ČSSD;67020;8;5;0;2;0;Y
KSČM;67020;0;4;0;10;1;O
KDU-ČSL;67020;10;0;0;0;0;Y
TOP09;67020;5;1;0;1;0;Y
STAN;67020;5;0;0;1;0;Y
ANO;67021;0;77;0;1;0;N
ODS;67021;8;4;0;13;0;O
Piráti;67021;22;0;0;0;0;Y
SPD;67021;0;8;0;14;0;O
ČSSD;67021;5;6;0;4;0;N
KSČM;67021;0;5;0;9;1;O
KDU-ČSL;67021;10;0;0;0;0;Y
TOP09;67021;6;0;0;1;0;Y
STAN;67021;5;0;0;1;0;Y
ANO;67022;77;0;0;1;0;Y
ODS;67022;25;0;0;0;0;Y
Piráti;67022;0;18;0;4;0;N
SPD;67022;22;0;0;0;0;Y
ČSSD;67022;14;0;0;1;0;Y
KSČM;67022;14;0;0;0;1;Y
KDU-ČSL;67022;10;0;0;0;0;Y
TOP09;67022;6;1;0;0;0;Y
STAN;67022;6;0;0;0;0;Y
ANO;67023;78;0;0;0;0;Y
ODS;67023;25;0;0;0;0;Y
Piráti;67023;20;0;1;0;1;Y
SPD;67023;22;0;0;0;0;Y
ČSSD;67023;10;0;3;1;1;Y
KSČM;67023;14;0;1;0;0;Y
KDU-ČSL;67023;8;0;2;0;0;Y
TOP09;67023;6;0;1;0;0;Y
STAN;67023;6;0;0;0;0;Y
ANO;67024;78;0;0;0;0;Y
ODS;67024;0;23;1;1;0;N
Piráti;67024;0;22;0;0;0;N
SPD;67024;22;0;0;0;0;Y
ČSSD;67024;0;0;3;11;1;O
KSČM;67024;15;0;0;0;0;Y
KDU-ČSL;67024;0;10;0;0;0;N
TOP09;67024;0;5;1;1;0;N
STAN;67024;0;6;0;0;0;N
ANO;67025;75;0;0;3;0;Y
ODS;67025;25;0;0;0;0;Y
Piráti;67025;20;1;0;1;0;Y
SPD;67025;22;0;0;0;0;Y
ČSSD;67025;9;0;2;3;1;Y
KSČM;67025;15;0;0;0;0;Y
KDU-ČSL;67025;10;0;0;0;0;Y
TOP09;67025;6;0;1;0;0;Y
STAN;67025;6;0;0;0;0;Y
ANO;67026;3;66;1;7;1;N
ODS;67026;24;0;1;0;0;Y
Piráti;67026;22;0;0;0;0;Y
SPD;67026;22;0;0;0;0;Y
ČSSD;67026;0;5;3;5;2;O
KSČM;67026;0;8;0;7;0;N
KDU-ČSL;67026;10;0;0;0;0;Y
TOP09;67026;4;0;3;0;0;Y
STAN;67026;6;0;0;0;0;Y
ANO;67027;76;0;1;0;1;Y
ODS;67027;18;1;1;5;0;Y
Piráti;67027;22;0;0;0;0;Y
SPD;67027;0;5;0;17;0;O
ČSSD;67027;10;0;3;0;2;Y
KSČM;67027;15;0;0;0;0;Y
KDU-ČSL;67027;3;4;0;3;0;N
TOP09;67027;2;1;3;1;0;O
STAN;67027;0;5;0;1;0;N
ANO;67028;66;0;5;7;0;Y
ODS;67028;19;0;0;6;0;Y
Piráti;67028;19;0;3;0;0;Y
SPD;67028;20;0;0;1;1;Y
ČSSD;67028;9;0;5;0;1;Y
KSČM;67028;10;0;2;3;0;Y
KDU-ČSL;67028;7;0;0;2;1;Y
TOP09;67028;5;0;1;0;1;Y
STAN;67028;6;0;0;0;0;Y
ANO;67029;74;0;1;3;0;Y
ODS;67029;23;0;0;2;0;Y
Piráti;67029;21;0;1;0;0;Y
SPD;67029;20;0;0;1;1;Y
ČSSD;67029;9;0;4;1;1;Y
KSČM;67029;12;0;2;1;0;Y
KDU-ČSL;67029;8;0;0;1;1;Y
TOP09;67029;6;0;0;0;1;Y
STAN;67029;6;0;0;0;0;Y
ANO;67030;74;0;1;3;0;Y
ODS;67030;23;0;0;2;0;Y
Piráti;67030;19;0;1;2;0;Y
SPD;67030;20;0;0;1;1;Y
ČSSD;67030;10;0;4;0;1;Y
KSČM;67030;12;0;2;1;0;Y
KDU-ČSL;67030;8;0;0;1;1;Y
TOP09;67030;6;0;0;0;1;Y
